Nombre,CIF,Es Factura,Total,Invoice Num,Fecha,IVA 1,IVA 2
ticket1299.json,B92385665,No,0,total(eur),24/04/2019,NaN,NaN
ticket13.json,NaN,No,1.25,***********8331,30/12/2019,NaN,NaN
ticket130.json,NaN,No,0,NaN,14/11/2019,21,NaN
ticket1304.json,NaN,No,8331,NaN,18/06/2019,NaN,NaN
ticket1305.json,NaN,No,4.6,NaN,18/06/2019,NaN,NaN
ticket1306.json,A79209854,No,10,simp26919tc000068817hora:12:05,17/06/2019,10,NaN
ticket1307.json,A82492729,No,0,NaN,17/06/2019,21,NaN
ticket1308.json,NaN,No,23.8,tb046679,17/06/2019,NaN,NaN
ticket1309.json,A82492729,No,12.7,NaN,18/06/2019,21,NaN
ticket131.json,NaN,No,0,NaN,14/11/2019,21,NaN
ticket1310.json,NaN,No,0,NaN,17/06/2019,NaN,NaN
ticket1311.json,NaN,No,1.35,NaN,17/06/2019,NaN,NaN
ticket1312.json,NaN,No,14.3,NaN,17/06/2019,NaN,NaN
ticket1313.json,A08225013,No,27.9,NaN,18/06/2019,10,NaN
ticket1314.json,NaN,No,2.4,NaN,20/03/2020,NaN,NaN
ticket1315.json,NaN,No,0,"•direcciócallesanjoaquín,14b,3°c,",08/07/1990,NaN,NaN
ticket1316.json,NaN,No,4603328480,operació,18/06/2019,21,NaN
ticket1317.json,A83036137,No,7.99,esteesecesarioparacualquier,Invalid date,NaN,NaN
ticket1318.json,NaN,No,22,NaN,29/05/2014,NaN,NaN
ticket1319.json,NaN,No,5.9,NaN,Invalid date,NaN,NaN
ticket132.json,NaN,No,0,NaN,14/11/2019,21,NaN
ticket1321.json,B18905182,Si,46.6,comesales1,Invalid date,10,NaN
ticket1328.json,NaN,No,16.64,simplificada13465/t/001,10/04/2019,NaN,NaN
ticket1329.json,NaN,No,4.6,NaN,16/04/2019,NaN,NaN
ticket133.json,B18905182,No,374.3,comesales4,Invalid date,NaN,NaN
ticket1330.json,NaN,No,1.9,NaN,16/04/2019,NaN,NaN
ticket1331.json,A82492729,No,0,NaN,16/04/2019,21,NaN
ticket1332.json,A82492729,No,8.5,NaN,16/04/2019,21,NaN
ticket1333.json,A82492729,No,0,NaN,13/04/2019,21,NaN
ticket1334.json,A82492729,No,5.2,NaN,10/04/2019,21,NaN
ticket1337.json,NaN,No,0,NaN,Invalid date,21,NaN
ticket1338.json,NaN,Si,28.7,NaN,06/06/2019,NaN,NaN
ticket1339.json,B93292001,No,207,NaN,07/06/2019,10,NaN
ticket134.json,A82492729,No,7,NaN,13/11/2019,21,NaN
